Plate,Col,Row,Compound,SMILES
1,3,E,DMSO,
1,4,E,DMSO,
1,5,E,81147493,COc1ccnc(Cn2nc(C3CCNCC3)n(Cc3ccccc3)c2=O)c1
1,6,E,21151448,Cc1cccc(C2CCCN(C(=O)c3cc(C(C)C)n4ncnc4n3)C2)c1
1,7,E,48997020,Cn1nc(C(C)(C)C)cc1NC(=O)NCc1ccc2c(c1)n(C)c(=O)n2C
1,8,E,12317293,CC(NC(=O)c1nccnc1C(=O)N1CCCCC1)c1ccc2[nH]ccc2c1
1,9,E,84302686,Cc1cc(NCc2ccc(F)cc2Cl)nc(N)n1
1,10,E,94880068,CCN1CC2(CCC1=O)CCN(C(=O)c1cccc(C#N)c1)CC2
1,11,E,36452663,Cn1c(Cn2cncn2)nnc1C1CCN(c2ccc(Cl)cn2)CC1
1,12,E,79519860,CN(C)C(=O)CCNc1cc(-c2ccccc2)nc2ccnn12
1,13,E,90495097,CN(Cc1noc2c1CCCC2)C(=O)CN1C(=O)COc2cccnc21
1,14,E,86211402,CNc1nc(C(=O)NC2CC(=O)Nc3ccccc32)cs1
1,15,E,11933204,O=C(c1ccc2nonc2c1)N1CCCN(Cc2ccc(F)cc2)CC1
1,16,E,16756040,COc1cc(Cl)c(C)cc1NC(=O)N(CCO)Cc1ccco1
1,17,E,14422276,COc1ccc(CN(C(=O)c2ccc3nccn3c2)C2CCCC2)c(OC)c1
1,18,E,49135313,Cc1ccc(N2CCN(C(=O)c3ccccc3-n3cncn3)CC2=O)cc1
1,19,E,16995927,CN(C)C(=O)N1C[C@@H]2CC[C@H](C1)N(C(=O)c1cccc(OC(F)F)c1)C2
1,20,E,11763055,COc1nc(-c2ccc(OC)c3ncccc23)ncc1F
1,21,E,62694795,CN(CC1CCCN(CCc2ccccc2F)C1)C(=O)c1ccn(C(C)(C)C)c1
1,22,E,29283830,O=C(c1c[nH]nc1-n1cnnn1)N1CCn2nc(Cc3ccccc3)cc2C1
1,23,E,81719442,COc1nc2c(cc1C(=O)N1CCC(Nc3ncccn3)CC1)CCC2
1,24,E,58240114,c1cn(-c2ccc(CN3CCCOC(CN4CCOCC4)C3)cc2)cn1
1,25,E,79120417,COc1ccc(-c2nc3c([nH]2)CCN(C(=O)CCc2nncn2C)C3)cc1
1,26,E,58365165,CCN1CC2(CCN(C(=O)c3cc(-n4cccn4)ccc3Cl)CC2)CC1=O
1,27,E,88921254,Cn1cnc2cc(C(=O)N3CCC(N4CCSCC4)CC3)ccc2c1=O
1,28,E,83684090,CC(C)C1CN(c2cc(NCCO)ncn2)CCCN1Cc1ccc(F)cc1
1,29,E,92848472,CCc1nc(NC(=O)N(C)Cc2cnn(-c3ccccc3C)c2)nn1C
1,30,E,76063559,CCNc1ncc(C(=O)NC(C)c2ccc(F)cc2)cn1
1,31,E,42149991,Cc1nonc1CC(=O)NCC1CC(=O)N(C)c2ccccc21
1,32,E,63861717,CC1(Cc2ccc3c(c2)OCO3)CCCN(C(=O)c2ccoc2)C1
1,33,E,74278378,CC(C)(C)CC(NC(=O)c1nc2ncccn2n1)c1cccnc1
1,34,E,47012298,CCc1nc(CCNc2cc(-c3ccccc3)nc3cc(C)nn23)no1
1,35,E,43292768,COc1ccc2c(c1)OCC(C(=O)NCc1cn3c(n1)SCC3)C2
1,36,E,15952345,Cc1ccc2nc(C(=O)NCc3nc(C)c4c(n3)CCCC4)cn2c1
1,37,E,56355196,Cc1nc2cc(C(=O)N3CCCN(Cc4cccs4)CC3)ccc2[nH]1
1,38,E,57263275,COc1ccc(Cl)cc1NC(=O)N1CCCCC1c1nc(C)no1
1,39,E,94365007,CCN1CC2(CCN(C(=O)CN(C)C)CC2)CC(c2ccccc2)C1=O
1,40,E,85058099,O=C(c1nc2ncccn2n1)N1CCC(c2nccn2Cc2ccccn2)CC1
1,41,E,22158047,COc1ccc(F)c(-c2nc(Cn3cncn3)c(C)o2)c1
1,42,E,98482664,CCNc1ncc(C(=O)NCc2cccnc2-n2cnc3ccccc32)cn1
1,43,E,53149808,O=C(c1ccc2c(c1)OCO2)N1CCOCC(CO)C1
1,44,E,77813687,CC(C)c1noc(C2CCN(C(=O)C3CCOc4ccccc4C3)CC2)n1
1,45,E,DMSO,
1,46,E,DMSO,
1,47,E,DMSO,
1,48,E,DMSO,
1,1,F,DMSO,
1,2,F,DMSO,
1,3,F,DMSO,
1,4,F,DMSO,
1,5,F,37180723,O=C(c1cc(=O)[nH]c2cc(F)ccc12)N1CCc2[nH]cnc2C1
1,6,F,96650477,COc1ccc(F)c(-c2nc(Cn3ccnc3C)c(C)o2)c1
1,7,F,44418042,COc1ccc2c(c1)OCC(C(=O)NCCSC(F)(F)F)C2
1,8,F,33211843,CCN1CC2(CCC1=O)CCN(C(=O)c1ccc(COC)s1)CC2
1,9,F,71029775,COc1ccc(-n2cc(-c3cc(-c4ccco4)c(C#N)c(N)n3)cn2)cc1
1,10,F,35493183,Cc1cc(C(=O)N2CCC3(CCC(=O)N(C4CCCC4)C3)CC2)ccc1F
1,11,F,12790334,Cc1cc(F)ccc1C(=O)N1CCC2(CCC(=O)N(Cc3ccncc3)C2)CC1
1,12,F,51468564,O=C(C(=O)N1CCc2c(nc(-c3ccncc3)[nH]c2=O)C1)N1CCCC1
1,13,F,46580303,CC1(Cc2ccc3c(c2)OCO3)CCCN(C(=O)C(=O)N2CCCC2)C1
1,14,F,76331642,CN(Cc1c[nH]nc1-c1ccccc1)C(=O)c1ccc2c(c1)no[n+]2[O-]
1,15,F,71776199,COc1cccc(N2CCN(C(=O)c3ccnc(OC)c3)CC2=O)c1
1,16,F,21827663,COc1ccc(OC)c(-c2nc3cc4c(cc3cc2CN2CCSCC2)OCO4)c1
1,17,F,89822670,O=C(c1cc(-c2ccccc2)no1)N1CCc2[nH]c(-c3ccccc3)nc2C1
1,18,F,44917208,Cc1ccc(C(CCO)NC(=O)Nc2cnn(C)c2)cc1
1,19,F,19340680,O=c1c2ccccc2cnn1Cc1nc(-c2ccc3[nH]cnc3c2)no1
1,20,F,78206461,O=C1NC(CC(=O)N(Cc2ccccn2)C2CCCCC2)c2ccccc21
1,21,F,93905291,O=C1OCCCN1CCNc1nccc(-c2ccccn2)n1
1,22,F,96275801,O=C1CC2(CCN(c3ncnc4[nH]cnc34)CC2)CN1Cc1ccc(F)c(F)c1
1,23,F,61915998,O=C(NCc1nc2ccccc2c(=O)[nH]1)C1CC(=O)N(Cc2ccncc2)C1
1,24,F,70922190,Cc1cc(=O)cc(C(=O)N2CCCC(C)(Cc3ccc4c(c3)OCO4)C2)o1
1,25,F,37544202,CC1(Cc2ccc3c(c2)OCO3)CCC(=O)N(Cc2cncn2C2CC2)C1
1,26,F,58104627,CCc1nc(CCn2ccnc2-c2nn(C)c3cccc(Cl)c23)no1
1,27,F,15459200,Cc1ncsc1C(=O)N1CCCC(C)(Cc2ccc3c(c2)OCO3)C1
1,28,F,98590184,CO[C@H]1C[C@@H](O)C12CCN(C(=O)c1cccn1C1CC1)CC2
1,29,F,36965364,CSc1ncc(CNc2cc(-c3ccccc3)nc3ccnn23)n1C
